CLI FLAGS EXTRACTED FROM /root/dbbackup/cmd/*.go
================================================
FLAG_NAME | TYPE | DEFAULT | REGISTERED_IN

=== ROOT PERSISTENT FLAGS (cmd/root.go) ===
config | string | "" | rootCmd (PersistentFlags)
host | string | cfg.Host | rootCmd (PersistentFlags)
port | int | cfg.Port | rootCmd (PersistentFlags)
socket | string | cfg.Socket | rootCmd (PersistentFlags)
user | string | cfg.User | rootCmd (PersistentFlags)
database | string | cfg.Database | rootCmd (PersistentFlags)
password | string | "" | rootCmd (PersistentFlags) [DEPRECATED, hidden]
db-type | string | cfg.DatabaseType | rootCmd (PersistentFlags)
backup-dir | string | cfg.BackupDir | rootCmd (PersistentFlags)
no-color | bool | cfg.NoColor | rootCmd (PersistentFlags)
debug | bool | cfg.Debug | rootCmd (PersistentFlags)
debug-locks | bool | cfg.DebugLocks | rootCmd (PersistentFlags)
jobs | int | cfg.Jobs | rootCmd (PersistentFlags)
dump-jobs | int | cfg.DumpJobs | rootCmd (PersistentFlags)
max-cores | int | cfg.MaxCores | rootCmd (PersistentFlags)
auto-detect-cores | bool | cfg.AutoDetectCores | rootCmd (PersistentFlags)
cpu-workload | string | cfg.CPUWorkloadType | rootCmd (PersistentFlags)
cpu-auto-tune | bool | cfg.CPUAutoTune | rootCmd (PersistentFlags)
cpu-boost | bool | cfg.CPUBoostGovernor | rootCmd (PersistentFlags)
ssl-mode | string | cfg.SSLMode | rootCmd (PersistentFlags)
insecure | bool | cfg.Insecure | rootCmd (PersistentFlags)
compression | int | cfg.CompressionLevel | rootCmd (PersistentFlags)
no-save-config | bool | false | rootCmd (PersistentFlags)
no-config | bool | false | rootCmd (PersistentFlags)
native | bool | cfg.UseNativeEngine | rootCmd (PersistentFlags)
native-engine | bool | cfg.UseNativeEngine | rootCmd (PersistentFlags)
fallback-tools | bool | cfg.FallbackToTools | rootCmd (PersistentFlags)
native-debug | bool | cfg.NativeEngineDebug | rootCmd (PersistentFlags)
retention-days | int | cfg.RetentionDays | rootCmd (PersistentFlags)
min-backups | int | cfg.MinBackups | rootCmd (PersistentFlags)
max-retries | int | cfg.MaxRetries | rootCmd (PersistentFlags)
allow-root | bool | cfg.AllowRoot | rootCmd (PersistentFlags)
check-resources | bool | cfg.CheckResources | rootCmd (PersistentFlags)

=== BACKUP CLUSTER FLAGS (cmd/backup.go - clusterCmd) ===
native | bool | false | clusterCmd
fallback-tools | bool | false | clusterCmd
dump-format | string | "" | clusterCmd
auto | bool | true | clusterCmd
workers | int | 0 | clusterCmd
pool-size | int | 0 | clusterCmd
buffer-size | int | 0 | clusterCmd
batch-size | int | 0 | clusterCmd

=== BACKUP SINGLE FLAGS (cmd/backup.go - singleCmd) ===
auto | bool | true | singleCmd
workers | int | 0 | singleCmd
pool-size | int | 0 | singleCmd
buffer-size | int | 0 | singleCmd
batch-size | int | 0 | singleCmd
dump-format | string | "" | singleCmd
backup-type | string | "full" | singleCmd
base-backup | string | "" | singleCmd

=== BACKUP COMMON FLAGS (cmd/backup.go - applied to both single+cluster) ===
encrypt | bool | false | singleCmd+clusterCmd
encryption-key-file | string | "" | singleCmd+clusterCmd
encryption-key-env | string | "DBBACKUP_ENCRYPTION_KEY" | singleCmd+clusterCmd
dry-run | bool | false | singleCmd+clusterCmd
compression-algorithm | string | "gzip" | singleCmd+clusterCmd
no-verify | bool | false | singleCmd+clusterCmd
verify-restore | bool | false | singleCmd+clusterCmd
lo-vacuum | bool | false | singleCmd+clusterCmd
lo-vacuum-timeout | int | 300 | singleCmd+clusterCmd
cloud | string | "" | singleCmd+clusterCmd
cloud-auto-upload | bool | false | singleCmd+clusterCmd
cloud-provider | string | "" | singleCmd+clusterCmd
cloud-bucket | string | "" | singleCmd+clusterCmd
cloud-region | string | "us-east-1" | singleCmd+clusterCmd
cloud-endpoint | string | "" | singleCmd+clusterCmd
cloud-prefix | string | "" | singleCmd+clusterCmd
galera-desync | bool | false | singleCmd+clusterCmd
galera-min-cluster-size | int | 2 | singleCmd+clusterCmd
galera-prefer-node | string | "" | singleCmd+clusterCmd
galera-health-check | bool | true | singleCmd+clusterCmd
mysql-quick | bool | true | singleCmd+clusterCmd
mysql-extended-insert | bool | true | singleCmd+clusterCmd
mysql-order-by-primary | bool | false | singleCmd+clusterCmd
mysql-disable-keys | bool | true | singleCmd+clusterCmd
mysql-net-buffer-length | int | 1048576 | singleCmd+clusterCmd
mysql-max-packet | string | "256M" | singleCmd+clusterCmd
mysql-fast-restore | bool | true | singleCmd+clusterCmd
mysql-batch-size | int | 5000 | singleCmd+clusterCmd
xtrabackup | bool | false | singleCmd+clusterCmd
xtrabackup-parallel | int | 4 | singleCmd+clusterCmd
xtrabackup-use-memory | string | "1G" | singleCmd+clusterCmd
